Kategori: Tüm kategoriler

Hafta,elektrik zam: (Türkiye)
2017-04-09,0
2017-04-16,1
2017-04-23,3
2017-04-30,1
2017-05-07,<1
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,1
2017-06-11,0
2017-06-18,1
2017-06-25,1
2017-07-02,1
2017-07-09,0
2017-07-16,0
2017-07-23,1
2017-07-30,1
2017-08-06,1
2017-08-13,0
2017-08-20,1
2017-08-27,1
2017-09-03,1
2017-09-10,0
2017-09-17,1
2017-09-24,1
2017-10-01,1
2017-10-08,0
2017-10-15,1
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,1
2017-11-19,0
2017-11-26,<1
2017-12-03,<1
2017-12-10,1
2017-12-17,<1
2017-12-24,8
2017-12-31,4
2018-01-07,1
2018-01-14,2
2018-01-21,<1
2018-01-28,1
2018-02-04,2
2018-02-11,<1
2018-02-18,<1
2018-02-25,1
2018-03-04,1
2018-03-11,<1
2018-03-18,1
2018-03-25,6
2018-04-01,4
2018-04-08,2
2018-04-15,1
2018-04-22,0
2018-04-29,2
2018-05-06,1
2018-05-13,0
2018-05-20,<1
2018-05-27,<1
2018-06-03,1
2018-06-10,2
2018-06-17,1
2018-06-24,2
2018-07-01,3
2018-07-08,1
2018-07-15,1
2018-07-22,1
2018-07-29,26
2018-08-05,6
2018-08-12,1
2018-08-19,5
2018-08-26,22
2018-09-02,18
2018-09-09,6
2018-09-16,7
2018-09-23,7
2018-09-30,33
2018-10-07,6
2018-10-14,4
2018-10-21,3
2018-10-28,2
2018-11-04,3
2018-11-11,4
2018-11-18,2
2018-11-25,4
2018-12-02,3
2018-12-09,2
2018-12-16,4
2018-12-23,3
2018-12-30,4
2019-01-06,8
2019-01-13,4
2019-01-20,1
2019-01-27,3
2019-02-03,2
2019-02-10,1
2019-02-17,0
2019-02-24,2
2019-03-03,1
2019-03-10,0
2019-03-17,1
2019-03-24,2
2019-03-31,51
2019-04-07,10
2019-04-14,1
2019-04-21,2
2019-04-28,2
2019-05-05,2
2019-05-12,1
2019-05-19,1
2019-05-26,0
2019-06-02,1
2019-06-09,1
2019-06-16,0
2019-06-23,15
2019-06-30,4
2019-07-07,2
2019-07-14,2
2019-07-21,2
2019-07-28,4
2019-08-04,4
2019-08-11,1
2019-08-18,4
2019-08-25,7
2019-09-01,6
2019-09-08,6
2019-09-15,3
2019-09-22,<1
2019-09-29,67
2019-10-06,7
2019-10-13,1
2019-10-20,2
2019-10-27,3
2019-11-03,3
2019-11-10,5
2019-11-17,5
2019-11-24,4
2019-12-01,3
2019-12-08,1
2019-12-15,4
2019-12-22,4
2019-12-29,4
2020-01-05,5
2020-01-12,4
2020-01-19,4
2020-01-26,4
2020-02-02,3
2020-02-09,3
2020-02-16,4
2020-02-23,1
2020-03-01,2
2020-03-08,0
2020-03-15,<1
2020-03-22,0
2020-03-29,2
2020-04-05,2
2020-04-12,2
2020-04-19,<1
2020-04-26,1
2020-05-03,1
2020-05-10,0
2020-05-17,0
2020-05-24,<1
2020-05-31,1
2020-06-07,1
2020-06-14,1
2020-06-21,2
2020-06-28,2
2020-07-05,1
2020-07-12,1
2020-07-19,0
2020-07-26,0
2020-08-02,<1
2020-08-09,2
2020-08-16,1
2020-08-23,1
2020-08-30,0
2020-09-06,1
2020-09-13,1
2020-09-20,35
2020-09-27,12
2020-10-04,2
2020-10-11,<1
2020-10-18,1
2020-10-25,<1
2020-11-01,2
2020-11-08,1
2020-11-15,0
2020-11-22,1
2020-11-29,2
2020-12-06,4
2020-12-13,3
2020-12-20,3
2020-12-27,20
2021-01-03,9
2021-01-10,3
2021-01-17,<1
2021-01-24,3
2021-01-31,3
2021-02-07,0
2021-02-14,3
2021-02-21,1
2021-02-28,1
2021-03-07,1
2021-03-14,1
2021-03-21,1
2021-03-28,3
2021-04-04,1
2021-04-11,0
2021-04-18,3
2021-04-25,3
2021-05-02,2
2021-05-09,1
2021-05-16,2
2021-05-23,3
2021-05-30,2
2021-06-06,1
2021-06-13,0
2021-06-20,<1
2021-06-27,46
2021-07-04,5
2021-07-11,2
2021-07-18,2
2021-07-25,6
2021-08-01,4
2021-08-08,8
2021-08-15,9
2021-08-22,8
2021-08-29,7
2021-09-05,1
2021-09-12,3
2021-09-19,4
2021-09-26,29
2021-10-03,5
2021-10-10,5
2021-10-17,3
2021-10-24,5
2021-10-31,12
2021-11-07,6
2021-11-14,6
2021-11-21,2
2021-11-28,2
2021-12-05,6
2021-12-12,6
2021-12-19,3
2021-12-26,100
2022-01-02,89
2022-01-09,27
2022-01-16,28
2022-01-23,26
2022-01-30,25
2022-02-06,19
2022-02-13,11
2022-02-20,5
2022-02-27,3
2022-03-06,1
2022-03-13,1
2022-03-20,3
2022-03-27,40
2022-04-03,7
